id,toss-pull-request-acceptance-rate,toss-review-duration,average-issue-resolution-time,issues-maintainer-response-duration
25431,None,0.5906828704,19:55:25.5,0.2857142857
25688,None,None,None,None
25531,0.8181818182,45.9652096193,369 days 14:19:44.15,75.0434782609
25854,None,None,04:00:33,0.0
25445,0.6612903226,15.9883307927,81 days 29:34:17.321429,70.037037037
25550,None,None,None,None
25699,None,None,None,None
25804,None,None,None,None
25542,None,None,None,None
25673,None,None,None,None
25785,None,None,00:32:18,65.3333333333
25752,None,None,None,None
25791,None,None,None,101.0
25587,0.6069364162,20.5229578924,74 days 18:59:04.984127,22.6722689076
25664,None,None,149 days 22:33:57.25,0.5
25806,None,None,None,None
25905,None,None,55 days 10:06:27.4,41.7142857143
25619,None,None,None,None
25620,None,None,None,None
25581,0.2571428571,19.0812106481,None,None
25505,None,None,None,None
25918,None,None,25 days 23:06:14.833333,0.8
25832,None,None,131 days 30:37:34.225225,33.6052631579
25916,None,None,None,None
25506,None,None,3407 days 19:38:22,203.6666666667
25635,None,None,None,None
25658,0.9714285714,0.5150148148,None,None
25663,None,None,None,None
25662,0.6444444444,10.360557152,152 days 17:20:38.714286,79.1428571429
25656,None,None,None,None
25660,None,None,90 days 21:20:11.694117,37.4725274725
25659,None,None,None,None
25657,0.8340807175,10.3298139389,73 days 24:45:02.368421,31.3370786517
25655,None,None,None,None
25653,0.8348348348,10.2683028434,62 days 32:21:25.040909,33.7464114833
25669,1.0,62.7825,13 days 22:54:29,None
25666,0.978021978,9.3248972638,64 days 22:12:13.733333,57.7058823529
25496,None,None,None,None
25524,None,None,None,None
25915,None,None,None,None
25517,0.2,11.5057025463,65 days 23:20:17.861539,28.7993079585
25492,None,None,None,None
25770,None,None,None,None
25919,None,None,None,None
25897,None,None,None,None
25807,None,None,None,None
25631,None,None,None,None
25637,None,None,None,None
25608,None,None,None,None
25740,None,None,None,None
25749,None,None,None,None
25741,None,None,None,None
25718,None,None,None,None
25710,None,None,None,None
25726,None,None,None,None
25714,None,None,None,None
25725,None,None,None,None
25724,None,None,None,None
25723,None,None,None,None
25722,None,None,None,None
25742,None,None,None,None
25721,None,None,None,None
25720,None,None,None,None
25719,None,None,None,None
25727,None,None,None,None
25739,None,None,None,None
25746,None,None,None,None
25743,None,None,145 days 02:50:32,0.0
25738,None,None,None,None
25737,None,None,None,None
25736,None,None,None,None
25734,None,None,None,None
25744,None,None,None,None
25712,None,None,None,None
25713,None,None,34:17:20.333333,0.0
25717,None,None,None,None
25747,None,None,None,None
25748,None,None,None,None
25733,None,None,None,None
25735,None,None,None,None
25715,None,None,None,None
25731,None,None,None,None
25716,None,None,None,None
25730,None,None,None,None
25732,None,None,None,None
25729,None,None,None,None
25728,None,None,None,None
25543,None,None,None,None
25695,None,None,None,None
25601,0.4971264368,10.6427306787,84 days 25:51:06,21.0363636364
25555,None,None,None,None
25668,None,None,None,None
25883,None,None,None,None
25442,0.8548387097,10.8938214099,74 days 13:45:20.5,44.4285714286
25694,None,None,None,None
25583,0.75,6.2094212963,None,None
25705,None,None,318 days 11:33:27,119.0
25810,None,None,147 days 27:42:45.661971,38.7603603604
25815,None,None,214 days 07:04:19.333333,14.0
25493,None,None,None,None
25494,None,None,None,None
25461,0.8055555556,10.1926979993,802 days 18:53:47.857143,840.0
25572,None,None,None,None
25605,None,None,None,None
25622,1.0,0.0265046296,None,None
25616,None,None,None,1308.0
25617,None,None,None,None
25638,0.8,3.9492877811,118 days 26:34:39.666667,11.4705882353
25632,None,None,None,44.0
25609,1.0,0.0002083333,None,None
25613,None,None,None,None
25927,None,None,None,None
25610,None,None,None,None
25831,None,None,None,None
25852,None,None,None,None
25855,0.7222222222,7.7838114316,160 days 11:35:32.090909,19.6818181818
