reviews,cluster,repo_id
2.0,2,25738
0.0,2,25779
254.0,0,30125
0.0,2,26088
0.0,2,26659
0.0,2,25995
2.0,2,25515
1.0,2,27515
0.0,2,25528
0.0,2,27332
22.0,2,28036
3.0,2,27899
0.0,2,27013
3.0,2,27433
0.0,2,30245
0.0,2,26925
1.0,2,25575
2.0,2,26857
0.0,2,26341
0.0,2,27617
0.0,2,28058
0.0,2,25697
0.0,2,25778
0.0,2,27322
24.0,2,25889
4.0,2,27632
0.0,2,26567
0.0,2,27291
11.0,2,25627
8.0,2,27312
0.0,2,25815
2.0,2,28019
3.0,2,25916
2.0,2,30320
1.0,2,25513
3.0,2,25961
0.0,2,25499
0.0,2,25585
680.0,0,30039
0.0,2,27706
1.0,2,27757
6.0,2,27321
0.0,2,25799
4.0,2,25899
44.0,2,25704
0.0,2,25490
0.0,2,26948
3.0,2,27050
0.0,2,25445
2.0,2,27794
0.0,2,25979
2.0,2,26778
0.0,2,27161
0.0,2,30080
103.0,2,26424
0.0,2,30313
0.0,2,26125
1.0,2,25523
0.0,2,25716
4.0,2,27599
0.0,2,27213
3.0,2,27208
0.0,2,26517
30.0,2,27226
0.0,2,26302
29.0,2,25846
1.0,2,27982
11.0,2,27566
0.0,2,25526
0.0,2,28111
40.0,2,27898
0.0,2,27517
0.0,2,27292
0.0,2,27797
0.0,2,26863
0.0,2,25754
0.0,2,30106
10.0,2,27867
0.0,2,25941
2.0,2,26780
26.0,2,25829
0.0,2,27185
0.0,2,26853
0.0,2,27358
3.0,2,27468
0.0,2,25810
279.0,0,27940
0.0,2,27310
5.0,2,25727
18.0,2,27608
1.0,2,28074
0.0,2,25603
1.0,2,25875
7.0,2,25978
0.0,2,26670
3.0,2,30150
11.0,2,25751
0.0,2,25652
0.0,2,27019
0.0,2,30263
2.0,2,26005
0.0,2,26893
1.0,2,27664
0.0,2,30139
0.0,2,25565
0.0,2,25873
9.0,2,26980
81.0,2,27987
0.0,2,27428
2.0,2,25904
0.0,2,28062
0.0,2,26811
0.0,2,30274
1.0,2,30077
1.0,2,27875
224.0,0,25703
6.0,2,30271
3.0,2,25971
0.0,2,26106
2.0,2,27903
1.0,2,25835
21.0,2,27061
32.0,2,26437
10.0,2,28015
0.0,2,26081
1.0,2,25802
0.0,2,25788
7.0,2,25931
2.0,2,30092
2.0,2,26484
0.0,2,25451
0.0,2,27191
0.0,2,30131
0.0,2,25584
3.0,2,30021
0.0,2,27137
0.0,2,27932
0.0,2,27439
1.0,2,25564
1.0,2,27002
4.0,2,27124
0.0,2,25446
0.0,2,25629
10.0,2,27427
0.0,2,25796
0.0,2,30162
3.0,2,30155
63.0,2,27914
859.0,0,30000
1.0,2,30167
0.0,2,27184
0.0,2,26632
0.0,2,28026
2.0,2,25587
0.0,2,26949
0.0,2,26639
4.0,2,27604
0.0,2,27242
0.0,2,26710
0.0,2,25989
0.0,2,26828
0.0,2,27125
0.0,2,26351
2.0,2,27942
52.0,2,30281
0.0,2,27751
6.0,2,27406
0.0,2,26645
1.0,2,25533
10.0,2,27840
1.0,2,28142
4.0,2,25597
148.0,0,25776
3.0,2,27449
0.0,2,25486
1.0,2,25972
0.0,2,25906
1.0,2,27618
0.0,2,25698
0.0,2,27824
0.0,2,27285
136.0,0,27219
14.0,2,30189
1.0,2,27366
0.0,2,30250
29.0,2,27864
4.0,2,28000
0.0,2,27367
1.0,2,25693
0.0,2,26476
0.0,2,27785
0.0,2,26640
0.0,2,25552
64.0,2,28025
0.0,2,25756
5.0,2,27470
5.0,2,25951
2.0,2,26985
6.0,2,30067
0.0,2,27628
10.0,2,27302
0.0,2,25741
463.0,0,27913
29.0,2,28038
1.0,2,25782
0.0,2,27441
0.0,2,27718
0.0,2,27186
0.0,2,27734
0.0,2,26181
34.0,2,27046
22.0,2,27578
0.0,2,28119
78.0,2,28109
0.0,2,25718
0.0,2,27725
1.0,2,27375
0.0,2,25669
1.0,2,28122
0.0,2,26508
0.0,2,28075
0.0,2,28091
6.0,2,27556
0.0,2,26374
0.0,2,27382
12.0,2,27975
0.0,2,25739
4.0,2,27859
0.0,2,26174
2.0,2,25954
18.0,2,25736
12.0,2,27885
1.0,2,25673
0.0,2,25720
0.0,2,26459
1.0,2,27272
0.0,2,27931
331.0,0,30042
2.0,2,25505
0.0,2,25666
0.0,2,27766
18.0,2,27371
0.0,2,26854
0.0,2,27492
0.0,2,27112
0.0,2,27281
0.0,2,27343
0.0,2,27329
1.0,2,30025
1.0,2,27607
1.0,2,26187
3.0,2,26678
1.0,2,25965
0.0,2,30332
0.0,2,26822
4.0,2,27901
147.0,2,25642
0.0,2,27579
0.0,2,27552
1.0,2,28144
3.0,2,25461
7.0,2,25827
0.0,2,27233
0.0,2,27202
0.0,2,27721
0.0,2,27223
5.0,2,27641
27.0,2,27244
0.0,2,27100
49.0,2,28024
0.0,2,26785
11.0,2,27474
0.0,2,27216
0.0,2,27949
2.0,2,27211
39.0,2,27656
25.0,2,27210
0.0,2,25487
0.0,2,25817
0.0,2,27464
0.0,2,25790
3.0,2,28112
0.0,2,25651
0.0,2,27314
4.0,2,28009
0.0,2,26211
5.0,2,27363
6.0,2,27481
0.0,2,25590
1.0,2,27418
0.0,2,25687
4.0,2,27887
6.0,2,27865
394.0,0,27962
1.0,2,27884
0.0,2,25504
106.0,2,27215
7.0,2,25464
27.0,2,30027
31.0,2,28018
3.0,2,25940
0.0,2,25443
0.0,2,25549
0.0,2,26943
0.0,2,28050
0.0,2,27445
0.0,2,30089
0.0,2,25500
0.0,2,28061
0.0,2,25680
0.0,2,27198
0.0,2,25626
1.0,2,27430
4.0,2,28079
0.0,2,25821
0.0,2,27688
0.0,2,27918
0.0,2,30164
0.0,2,27567
3.0,2,28056
2.0,2,27395
0.0,2,27128
2.0,2,25808
6.0,2,28129
0.0,2,27229
0.0,2,30056
0.0,2,27353
0.0,2,25864
0.0,2,26882
0.0,2,25943
0.0,2,30138
625.0,0,25663
0.0,2,30136
0.0,2,25691
9.0,2,25550
0.0,2,27069
0.0,2,25566
0.0,2,26390
0.0,2,25838
0.0,2,27924
