new-issues,cluster,repo_id
0.0,0,28055
2.0,0,27912
250.0,0,25764
0.0,0,27314
0.0,0,27376
0.0,0,25784
0.0,0,26712
3.0,0,28011
1.0,0,25970
0.0,0,27493
10.0,0,25488
2.0,0,25840
2.0,0,25916
1.0,0,27639
0.0,0,26870
0.0,0,27066
80.0,0,25432
1.0,0,27148
0.0,0,26804
1.0,0,25684
2.0,0,28144
0.0,0,26041
10.0,0,27370
4.0,0,27999
0.0,0,27230
0.0,0,27432
36.0,0,27892
3.0,0,27278
0.0,0,27327
1.0,0,25975
0.0,0,30272
0.0,0,26688
0.0,0,26050
6.0,0,27649
25.0,0,30180
2.0,0,30050
0.0,0,27193
46.0,0,25800
0.0,0,27033
0.0,0,25542
0.0,0,25495
23.0,0,27951
1.0,0,27658
0.0,0,26346
31.0,0,28038
0.0,0,26582
8.0,0,27339
0.0,0,26559
0.0,0,26806
0.0,0,27822
19.0,0,25665
1.0,0,25929
5.0,0,27227
0.0,0,25678
0.0,0,27504
0.0,0,27348
3.0,0,30181
0.0,0,28058
1.0,0,26373
4.0,0,27900
2.0,0,25471
0.0,0,25686
27.0,0,30018
0.0,0,25648
0.0,0,27417
6.0,0,27469
0.0,0,27063
0.0,0,26912
3.0,0,27888
25.0,0,25621
0.0,0,26659
0.0,0,25629
0.0,0,27017
0.0,0,25977
0.0,0,25876
27.0,0,30324
0.0,0,26874
10.0,0,30058
0.0,0,27961
1.0,0,27656
0.0,0,27948
2.0,0,30136
7.0,0,25751
0.0,0,26748
1.0,0,27041
8.0,0,30073
0.0,0,27284
4.0,0,27974
0.0,0,27605
5.0,0,28043
1.0,0,27984
0.0,0,27337
25.0,0,27513
0.0,0,25907
0.0,0,26949
13.0,0,25450
0.0,0,26866
0.0,0,27480
0.0,0,26836
10.0,0,27226
4.0,0,25848
106.0,0,25829
142.0,0,27940
1.0,0,27020
0.0,0,27354
7.0,0,27235
0.0,0,27457
0.0,0,27593
54.0,0,26978
0.0,0,27500
0.0,0,30177
1.0,0,25513
0.0,0,27414
0.0,0,27351
12.0,0,25804
0.0,0,25817
0.0,0,27890
12.0,0,30062
0.0,0,27574
0.0,0,25793
0.0,0,27391
0.0,0,28067
1133.0,1,25726
2.0,0,27972
2.0,0,27564
0.0,0,27573
1.0,0,26181
2.0,0,25688
0.0,0,27502
27.0,0,27906
0.0,0,25718
0.0,0,27808
6.0,0,25837
0.0,0,25694
1.0,0,26989
0.0,0,25928
0.0,0,26064
0.0,0,26353
0.0,0,30044
0.0,0,27797
0.0,0,26567
18.0,0,28143
0.0,0,25805
0.0,0,27542
0.0,0,25507
0.0,0,26860
12.0,0,27378
9.0,0,27952
1.0,0,27650
0.0,0,26899
0.0,0,27405
11.0,0,27059
1.0,0,27894
0.0,0,27767
91.0,0,27845
4.0,0,30032
3.0,0,27218
93.0,0,27866
3.0,0,27124
0.0,0,25819
3.0,0,27923
33.0,0,25846
0.0,0,25652
4.0,0,25535
2.0,0,27489
5.0,0,25987
33.0,0,27297
0.0,0,27611
1.0,0,30129
1.0,0,27515
0.0,0,25863
177.0,0,25638
14.0,0,28102
2.0,0,27985
0.0,0,27675
0.0,0,27366
0.0,0,27292
0.0,0,27122
0.0,0,30042
4.0,0,27789
0.0,0,25735
27.0,0,25926
0.0,0,25913
4.0,0,25634
0.0,0,26128
0.0,0,27467
0.0,0,25667
0.0,0,27849
0.0,0,27304
11.0,0,30155
1.0,0,27420
0.0,0,26927
2.0,0,27933
5.0,0,30076
0.0,0,27786
4.0,0,30163
0.0,0,27594
4.0,0,25875
0.0,0,27524
13.0,0,30020
0.0,0,26270
9.0,0,27372
0.0,0,26929
0.0,0,26608
0.0,0,25534
0.0,0,27453
0.0,0,26269
0.0,0,27910
6.0,0,27479
3.0,0,25616
0.0,0,26907
4.0,0,25574
413.0,0,25857
0.0,0,27503
0.0,0,27603
0.0,0,28019
2.0,0,27381
10.0,0,30024
4.0,0,25978
0.0,0,27130
0.0,0,26486
0.0,0,25430
32.0,0,27962
4.0,0,25674
10.0,0,26004
0.0,0,26669
0.0,0,25932
1.0,0,28046
3.0,0,25956
30.0,0,26983
0.0,0,25552
0.0,0,25591
3.0,0,27527
0.0,0,25772
41.0,0,28034
0.0,0,27540
0.0,0,27191
0.0,0,25870
0.0,0,26646
1.0,0,27651
0.0,0,25673
0.0,0,27482
2.0,0,30148
2.0,0,25485
2.0,0,30152
0.0,0,27251
0.0,0,27505
21.0,0,27960
0.0,0,27571
1.0,0,28057
1.0,0,27736
0.0,0,27561
63.0,0,25836
0.0,0,27487
0.0,0,27805
1.0,0,25968
0.0,0,25789
0.0,0,27607
0.0,0,27635
24.0,0,27625
29.0,0,27061
1.0,0,27461
1.0,0,27868
2.0,0,25685
4.0,0,25727
0.0,0,26299
5.0,0,28032
25.0,0,27976
1.0,0,30151
56.0,0,30031
0.0,0,27518
1.0,0,26938
0.0,0,25811
0.0,0,27393
0.0,0,26368
1.0,0,27934
0.0,0,27384
0.0,0,25855
31.0,0,25730
0.0,0,27536
0.0,0,25744
0.0,0,26851
1.0,0,27529
0.0,0,27374
1.0,0,30093
16.0,0,28059
0.0,0,27616
1.0,0,30133
1.0,0,25903
2.0,0,27568
2.0,0,30101
0.0,0,30123
0.0,0,25964
9.0,0,30021
1.0,0,25841
49.0,0,25435
0.0,0,25731
0.0,0,27435
0.0,0,30264
0.0,0,27441
2.0,0,27210
55.0,0,28126
0.0,0,27618
0.0,0,27466
24.0,0,25884
1.0,0,27418
4.0,0,26986
0.0,0,27606
1.0,0,25904
0.0,0,25790
3.0,0,28004
0.0,0,27416
0.0,0,26822
0.0,0,30025
0.0,0,26283
0.0,0,26337
0.0,0,27613
148.0,0,28132
0.0,0,28048
8.0,0,27309
1.0,0,27953
8.0,0,30223
23.0,0,27969
2.0,0,30287
2.0,0,30186
0.0,0,27115
0.0,0,25752
0.0,0,27394
1.0,0,26853
0.0,0,27471
0.0,0,25787
0.0,0,26316
33.0,0,26982
0.0,0,27569
8.0,0,25573
14.0,0,28121
0.0,0,27335
0.0,0,25563
1.0,0,25544
0.0,0,25478
33.0,0,27035
0.0,0,26364
0.0,0,26272
21.0,0,27291
0.0,0,26298
80.0,0,25809
17.0,0,30002
10.0,0,28036
0.0,0,27521
0.0,0,26948
0.0,0,26174
80.0,0,28010
0.0,0,26188
0.0,0,25680
0.0,0,25431
32.0,0,27858
1.0,0,28115
7.0,0,28145
0.0,0,27375
1.0,0,27369
1.0,0,27551
0.0,0,25798
1.0,0,27047
0.0,0,27738
0.0,0,30268
27.0,0,27968
0.0,0,26991
1.0,0,27387
0.0,0,27268
37.0,0,27870
0.0,0,26018
0.0,0,27520
30.0,0,25631
0.0,0,27836
70.0,0,27987
1.0,0,27608
17.0,0,27967
2.0,0,27581
1.0,0,28033
0.0,0,26609
0.0,0,26995
0.0,0,27587
0.0,0,27553
0.0,0,30260
0.0,0,27241
0.0,0,27451
8.0,0,30001
1.0,0,25467
6.0,0,28024
1.0,0,27641
0.0,0,25597
0.0,0,27844
0.0,0,28142
2.0,0,25947
2.0,0,30043
0.0,0,26690
0.0,0,27491
0.0,0,30246
2.0,0,27915
0.0,0,25555
8.0,0,28072
18.0,0,25607
0.0,0,26126
0.0,0,30304
148.0,0,25851
0.0,0,25756
3.0,0,27882
2.0,0,27646
0.0,0,27806
0.0,0,26795
0.0,0,25749
7.0,0,27237
0.0,0,26813
0.0,0,26388
1.0,0,27406
11.0,0,30262
0.0,0,27508
1.0,0,27057
0.0,0,28116
1.0,0,27837
0.0,0,27422
0.0,0,26271
6.0,0,27219
30.0,0,27966
0.0,0,26303
0.0,0,30166
172.0,0,25823
2.0,0,25611
1.0,0,25931
15.0,0,28120
0.0,0,27449
0.0,0,26823
0.0,0,25874
234.0,0,25743
0.0,0,26355
27.0,0,27591
0.0,0,27352
2.0,0,28112
6.0,0,25958
4.0,0,30134
0.0,0,27358
0.0,0,26305
9.0,0,30209
9.0,0,27946
2.0,0,27865
15.0,0,30067
5.0,0,25957
1.0,0,27995
28.0,0,27956
0.0,0,30173
12.0,0,30150
0.0,0,30255
0.0,0,25911
0.0,0,27619
3.0,0,25969
0.0,0,25580
2.0,0,25564
6.0,0,25942
73.0,0,25642
37.0,0,28109
0.0,0,25666
0.0,0,27401
3.0,0,25472
0.0,0,30095
0.0,0,27801
3.0,0,25902
1.0,0,27901
0.0,0,27265
0.0,0,27468
1.0,0,27011
24.0,0,25820
0.0,0,25934
2.0,0,25508
1.0,0,25871
1.0,0,27055
9.0,0,25523
14.0,0,25632
0.0,0,26833
1.0,0,27875
0.0,0,25826
1.0,0,25918
2225.0,2,28150
3.0,0,28029
8.0,0,27911
0.0,0,26336
1.0,0,27484
8.0,0,30079
1.0,0,27138
0.0,0,25814
0.0,0,27688
0.0,0,27604
2.0,0,28139
9.0,0,30057
0.0,0,26125
6.0,0,30174
0.0,0,27494
3.0,0,25914
0.0,0,27173
1.0,0,27638
