website,company,classification
rrdonnelley.com,R.R. Donnelley & Sons,corporate
stanleyblackanddecker.com,Stanley Black & Decker,corporate
xcelenergy.com,Xcel Energy,corporate
corporate.murphyusa.com,Murphy USA,corporate
cbre.com,CBRE Group,corporate
drhorton.com,D.R. Horton,corporate
wellsfargo.com,Wells Fargo,corporate
elcompanies.com,Estee Lauder,corporate
praxair.com,Praxair,corporate
biogen.com,Biogen,corporate
statestreet.com,State Street Corp.,corporate
unum.com,Unum Group,corporate
reynoldsamerican.com,Reynolds American,corporate
group1auto.com,Group 1 Automotive,corporate
henryschein.com,Henry Schein,corporate
hertz.com,Hertz Global Holdings,corporate
nscorp.com,Norfolk Southern,corporate
homedepot.com,Home Depot,corporate
rgare.com,Reinsurance Group of America,corporate
pseg.com,Public Service Enterprise Group,corporate
bbt.com,BB&T Corp.,corporate
dteenergy.com,DTE Energy,corporate
assurant.com,Assurant,corporate
globalp.com,Global Partners,corporate
huntsman.com,Huntsman,corporate
bd.com,Becton Dickinson,corporate
sempra.com,Sempra Energy,corporate
autozone.com,AutoZone,corporate
citigroup.com,Citigroup,corporate
navistar.com,Navistar International,corporate
precast.com,Precision Castparts,corporate
discoverfinancial.com,Discover Financial Services,corporate
libertyinteractive.com,Liberty Interactive,corporate
grainger.com,W.W. Grainger,corporate
baxter.com,Baxter International,corporate
stryker.com,Stryker,corporate
airproducts.com,Air Products & Chemicals,corporate
wnr.com,Western Refining,corporate
uhsinc.com,Universal Health Services,corporate
phillips66.com,Phillips 66,corporate
owens-minor.com,Owens & Minor,corporate
charter.com,Charter Communications,corporate
advanceautoparts.com,Advance Auto Parts,corporate
mastercard.com,MasterCard,corporate
appliedmaterials.com,Applied Materials,corporate
eastman.com,Eastman Chemical,corporate
sonicautomotive.com,Sonic Automotive,corporate
ally.com,Ally Financial,corporate
cstbrands.com,CST Brands,corporate
ebay.com,eBay,corporate
berkshirehathaway.com,Berkshire Hathaway,corporate
ibm.com,IBM,corporate
lennar.com,Lennar,corporate
gamestopcorp.com,GameStop,corporate
rsac.com,Reliance Steel & Aluminum,corporate
hormelfoods.com,Hormel Foods,corporate
celgene.com,Celgene,corporate
genworth.com,Genworth Financial,corporate
paypal.com,PayPal Holdings,corporate
pricelinegroup.com,Priceline Group,corporate
mgmresorts.com,MGM Resorts International,corporate
autoliv.com,Autoliv,corporate
valero.com,Valero Energy,corporate
fnf.com,Fidelity National Financial,corporate
republicservices.com,Republic Services,corporate
corning.com,Corning,corporate
kiewit.com,Peter Kiewit Sons',corporate
univar.com,Univar,corporate
mosaicco.com,Mosaic,corporate
core-mark.com,Core-Mark Holding,corporate
thrivent.com,Thrivent Financial for Lutherans,corporate
c-a-m.com,Cameron International,corporate
hdsupply.com,HD Supply Holdings,corporate
antheminc.com,Anthem,corporate
crowncork.com,Crown Holdings,corporate
eogresources.com,EOG Resources,corporate
veritivcorp.com,Veritiv,corporate
anadarko.com,Anadarko Petroleum,corporate
labcorp.com,Laboratory Corp. of America,corporate
pacificlife.com,Pacific Life,corporate
newscorp.com,News Corp.,corporate
jarden.com,Jarden,corporate
suntrust.com,SunTrust Banks,corporate
avisbudgetgroup.com,Avis Budget Group,corporate
pg.com,Procter & Gamble,corporate
broadcom.com,Broadcom,corporate
amfam.com,American Family Insurance Group,corporate
level3.com,Level 3 Communications,corporate
tenneco.com,Tenneco,corporate
unfi.com,United Natural Foods,corporate
deanfoods.com,Dean Foods,corporate
campbellsoupcompany.com,Campbell Soup,corporate
mohawkind.com,Mohawk Industries,corporate
borgwarner.com,BorgWarner,corporate
pvh.com,PVH,corporate
statefarm.com,State Farm Insurance Cos.,corporate
ball.com,Ball,corporate
oreillyauto.com,O'Reilly Automotive,corporate
eversource.com,Eversource Energy,corporate
franklinresources.com,Franklin Resources,corporate
masco.com,Masco,corporate
lithia.com,Lithia Motors,corporate
kkr.com,KKR,corporate
oneok.com,Oneok,corporate
newmont.com,Newmont Mining,corporate
pplweb.com,PPL,corporate
google.com,Alphabet,corporate
spartannash.com,SpartanNash,corporate
quantaservices.com,Quanta Services,corporate
xpo.com,XPO Logistics,corporate
ralphlauren.com,Ralph Lauren,corporate
interpublic.com,Interpublic Group,corporate
steeldynamics.com,Steel Dynamics,corporate
wesco.com,WESCO International,corporate
questdiagnostics.com,Quest Diagnostics,corporate
bostonscientific.com,Boston Scientific,corporate
agcocorp.com,AGCO,corporate
comcastcorporation.com,Comcast,corporate
footlocker-inc.com,Foot Locker,corporate
thehersheycompany.com,Hershey,corporate
centerpointenergy.com,CenterPoint Energy,corporate
williams.com,Williams,corporate
dickssportinggoods.com,Dick's Sporting Goods,corporate
livenation.com,Live Nation Entertainment,corporate
mutualofomaha.com,Mutual of Omaha Insurance,corporate
wrberkley.com,W.R. Berkley,corporate
lkqcorp.com,LKQ,corporate
avoncompany.com,Avon Products,corporate
target.com,Target,corporate
darden.com,Darden Restaurants,corporate
kindredhealthcare.com,Kindred Healthcare,corporate
weyerhaeuser.com,Weyerhaeuser,corporate
caseys.com,Casey's General Stores,corporate
sealedair.com,Sealed Air,corporate
53.com,Fifth Third Bancorp,corporate
dovercorporation.com,Dover,corporate
huntingtoningalls.com,Huntington Ingalls Industries,corporate
netflix.com,Netflix,corporate
dillards.com,Dillard's,corporate
jnj.com,Johnson & Johnson,corporate
emcorgroup.com,EMCOR Group,corporate
edwardjones.com,Jones Financial,corporate
aksteel.com,AK Steel Holding,corporate
ugicorp.com,UGI,corporate
expediainc.com,Expedia,corporate
salesforce.com,salesforce.com,corporate
targaresources.com,Targa Resources,corporate
apachecorp.com,Apache,corporate
spiritaero.com,Spirit AeroSystems Holdings,corporate
expeditors.com,Expeditors International of Washington,corporate
metlife.com,MetLife,corporate
anixter.com,Anixter International,corporate
fisglobal.com,Fidelity National Information Services,corporate
asburyauto.com,Asbury Automotive Group,corporate
hess.com,Hess,corporate
ryder.com,Ryder System,corporate
terex.com,Terex,corporate
cokecce.com,Coca-Cola European Partners,corporate
auto-owners.com,Auto-Owners Insurance,corporate
cablevision.com,Cablevision Systems,corporate
symantec.com,Symantec,corporate
mckesson.com,McKesson,corporate
adm.com,Archer Daniels Midland,corporate
aboutschwab.com,Charles Schwab,corporate
calpine.com,Calpine,corporate
cmsenergy.com,CMS Energy,corporate
alliancedata.com,Alliance Data Systems,corporate
jetblue.com,JetBlue Airways,corporate
discoverycommunications.com,Discovery Communications,corporate
trin.net,Trinity Industries,corporate
sanmina.com,Sanmina,corporate
ncr.com,NCR,corporate
fmctechnologies.com,FMC Technologies,corporate
marathonpetroleum.com,Marathon Petroleum,corporate
erieinsurance.com,Erie Insurance Group,corporate
rockwellautomation.com,Rockwell Automation,corporate
drpeppersnapplegroup.com,Dr Pepper Snapple Group,corporate
iheartmedia.com,iHeartMedia,corporate
tractorsupply.com,Tractor Supply,corporate
jbhunt.com,J.B. Hunt Transport Services,corporate
cmc.com,Commercial Metals,corporate
o-i.com,Owens-Illinois,corporate
harman.com,Harman International Industries,corporate
baxalta.com,Baxalta,corporate
freddiemac.com,Freddie Mac,corporate
afginc.com,American Financial Group,corporate
netapp.com,NetApp,corporate
graybar.com,Graybar Electric,corporate
oshkoshcorporation.com,Oshkosh,corporate
ameren.com,Ameren,corporate
amark.com,A-Mark Precious Metals,corporate
barnesandnobleinc.com,Barnes & Noble,corporate
dana.com,Dana Holding,corporate
cbrands.com,Constellation Brands,corporate
lifepointhealth.net,LifePoint Health,corporate
pepsico.com,PepsiCo,corporate
zimmerbiomet.com,Zimmer Biomet Holdings,corporate
harley-davidson.com,Harley-Davidson,corporate
pultegroupinc.com,PulteGroup,corporate
newellbrands.com,Newell Brands,corporate
averydennison.com,Avery Dennison,corporate
jll.com,Jones Lang LaSalle,corporate
wecenergygroup.com,WEC Energy Group,corporate
marathonoil.com,Marathon Oil,corporate
ta-petrol.com,TravelCenters of America,corporate
unitedrentals.com,United Rentals,corporate
utc.com,United Technologies,corporate
hrggroup.com,HRG Group,corporate
oldrepublic.com,Old Republic International,corporate
windstream.com,Windstream Holdings,corporate
starwoodhotels.com,Starwood Hotels & Resorts,corporate
delekus.com,Delek US Holdings,corporate
packagingcorp.com,Packaging Corp. of America,corporate
quintiles.com,Quintiles IMS Holdings,corporate
hanes.com,Hanesbrands,corporate
realogy.com,Realogy Holdings,corporate
